game_id,moves
10,1 19 21 24 23 10 20 32 30 27 29 57 47 50 44 30 21 51 52 56 55 42 51 49 56 44 38 41 57 38 21 17 32 34 50 32 15 21 38 64 63 35 37 47 32 38 32 25 32 26 12 33 25 18 36 32 60 2 18 60 51 50 51 63 62 59 61 25 53 43 44 53 32 42 26 49 33 29 30 23 30 36 15 8 15 20 30 32 39 3 4 9 25 12 13 25 18 26 18 33 32 18 19 56 38 13 15 38 31 4 5 39 38 15 43 40 39 30 15 32 24 15 21 38 22 43 22 24 22 11 12 31 40 19 27 16 14 5 14 22 14 27 32 40 47 32 48 14 12 48 47 12 20 21 38 20 19 51 60 57 56 47 55 56 64 55 54 19 22 38 48 22 23 54 62 64 56 48 38 23 22 62 54 56 47 38 32 47 48 32 22 39 38 54 46 48 55 60 53 55 56 46 38 56 47 38 46 47 56 37 38 56 63 38 39 63 55 39 40 55 56 40 41 56 64 41 39 64 65 46 48 0
11,1 27 29 57 47 18 54 40 39 35 37 32 30 37 38 64 63 54 18 47 32 43 45 24 22 19 20 17 23 50 44 33 15 3 4 22 29 20 29 49 40 10 20 56 54 59 60 48 46 20 5 15 33 11 13 16 15 18 36 32 49 2 18 25 32 5 20 49 55 51 52 54 45 52 45 40 61 34 35 41 48 58 50 61 40 20 14 23 38 29 38 32 14 35 27 14 42 26 42 9 25 42 7 33 32 44 29 55 61 7 35 25 18 35 62 48 49 50 18 65 64 18 23 0
12,1 50 44 57 47 27 29 32 31 10 20 31 30 26 28 16 15 35 37 30 37 20 37 25 16 37 47 40 47 18 45 49 40 28 14 24 23 14 62 41 57 34 18 17 7 42 28 56 55 62 63 49 41 28 21 40 49 21 48 57 65 63 61 41 35 58 34 33 40 48 55 35 34 26 34 40 56 44 38 7 13 34 36 13 3 18 10 16 25 36 52 8 7 55 64 3 20 11 20 9 8 64 46 56 64 46 64 25 53 52 53 49 63 61 63 15 14 38 55 0
13,1 35 37 40 38 50 44 17 23 10 20 57 47 42 21 47 37 20 30 37 31 21 12 49 40 27 29 38 29 34 50 41 57 42 34 40 47 18 45 31 46 45 24 8 6 3 5 32 31 24 33 47 33 51 53 46 40 44 29 23 38 59 60 40 55 43 45 38 23 29 14 25 39 14 24 39 30 24 30 33 61 34 35 9 41 35 41 49 41 19 20 41 34 26 34 61 34 2 34 57 49 50 43 64 62 43 52 62 61 52 44 23 33 30 24 55 40 34 26 40 25 24 14 49 40 45 46 33 23 44 45 23 38 14 31 38 55 46 55 25 31 26 31 40 31 55 48 31 40 45 54 40 49 54 55 16 15 53 54 15 14 5 14 6 5 12 5 49 40 55 56 40 31 48 49 31 30 5 12 30 37 49 40 37 28 14 15 28 27 15 16 27 18 16 17 18 27 20 21 27 18 21 22 18 27 12 57 27 28 22 23 28 27 23 24 27 18 24 25 18 10 11 13 10 11 13 14 0
14,1 27 29 32 30 50 44 24 23 51 52 25 53 42 51 40 39 34 50 49 31 19 21 48 46 10 20 57 47 18 54 64 63 54 47 56 47 21 30 23 30 26 12 33 32 59 60 53 62 44 61 17 23 2 18 23 29 12 26 29 23 3 4 65 57 11 13 9 25 13 14 23 38 20 30 39 30 26 30 62 48 18 25 41 40 30 16 57 25 61 46 40 33 46 31 32 31 43 45 31 29 50 59 38 32 51 23 25 17 16 7 48 21 7 5 17 25 42 26 29 43 59 58 21 35 26 32 33 41 5 37 41 49 37 40 49 57 40 56 0
15,1 35 37 40 38 50 44 17 23 10 20 57 47 42 14 23 29 14 21 49 22 27 28 32 31 44 29 22 29 3 5 41 57 26 44 25 39 20 30 47 53 34 50 24 23 30 36 29 36 18 36 53 36 44 36 49 41 21 39 41 39 5 6 64 63 42 18 31 30 36 22 8 7 18 34 9 25 34 35 25 24 51 52 24 32 22 20 30 37 35 37 32 30 11 13 48 46 37 21 33 31 2 34 39 40 34 36 57 64 59 60 64 57 50 51 40 32 36 44 32 48 20 34 30 14 34 20 14 30 44 36 48 40 60 61 40 32 36 34 57 48 34 36 48 57 36 34 30 14 34 35 14 30 35 36 57 64 36 34 64 57 34 36 57 64 36 34 64 57 34 35 57 64 51 50 64 57 50 51 32 40 20 34 30 14 34 20 14 30 21 22 57 64 35 36 64 55 22 21 55 64 20 34 64 57 34 35 40 48 35 34 48 40 21 45 38 45 36 40 45 52 43 52 30 14 40 39 31 30 51 59 30 29 39 35 29 31 35 39 31 29 39 41 57 64 19 20 29 28 41 49 28 19 59 60 19 37 34 37 46 37 49 41 23 22 41 37 22 13 20 13 63 62 60 51 16 15 6 15 14 15 51 44 56 55 37 29 15 14 52 53 62 53 44 53 64 56 53 45 7 6 13 6 14 6 45 52 55 54 61 54 6 38 52 53 38 39 53 62 39 7 29 26 7 8 26 31 8 40 31 55 56 64 55 63 64 56 63 55 56 65 55 63 65 56 63 31 40 24 31 7 24 21 7 8 56 57 8 9 57 56 9 8 56 57 62 63 21 23 54 55 23 25 8 56 57 65 56 64 65 57 64 56 57 65 56 64 65 57 64 32 57 65 32 40 25 9 40 64 65 57 64 56 57 65 56 64 65 57 64 16 57 65 16 24 9 41 24 64 65 57 64 56 57 65 56 64 65 57 64 56 57 65 56 32 65 57 32 24 41 49 24 56 57 65 56 64 65 57 64 56 57 65 56 64 65 57 64 32 49 25 32 40 57 49 40 48 49 57 48 8 57 65 8 16 25 41 16 8 41 25 8 48 25 41 48 24 65 57 24 32 41 49 32 8 49 41 8 16 41 49 16 24 49 41 24 16 41 25 16 40 25 9 40 56 57 65 56 48 9 25 48 8 25 17 8 64 65 57 64 56 57 65 56 64 65 57 64 56 57 65 56 32 17 41 32 16 41 25 16 48 25 9 48 40 65 57 40 39 9 25 39 7 25 49 7 8 49 17 8 56 0
16,1 35 37 24 22 10 20 17 23 42 14 23 29 50 44 40 39 34 50 8 7 14 28 29 23 28 35 23 29 35 28 29 23 28 35 23 29 35 28 0
17,1 35 37 24 22 10 20 17 23 43 45 56 55 50 44 49 56 42 14 23 29 34 50 8 7 14 28 32 31 44 29 22 29 20 35 57 47 19 20 29 20 27 20 41 57 50 58 16 14 35 52 25 16 45 46 31 30 37 38 47 37 28 37 30 37 26 33 49 33 46 47 40 47 38 47 56 49 18 36 33 28 36 29 14 13 2 34 9 41 34 36 16 30 42 34 28 36 34 36 13 20 11 20 30 3 36 37 41 37 52 37 7 6 37 22 3 10 22 16 6 5 20 21 5 4 21 22 10 37 16 6 4 3 22 23 49 31 58 50 31 22 0
18,1 11 13 40 38 3 4 48 46 18 11 32 31 19 21 57 47 10 20 25 39 35 36 17 32 27 29 38 37 50 60 49 40 60 45 39 48 59 61 41 57 42 35 24 23 51 52 31 30 21 30 23 30 26 12 32 15 20 5 40 31 5 22 31 45 52 45 33 40 34 18 15 21 18 10 16 15 22 7 9 25 13 14 64 63 12 13 40 32 26 18 57 64 4 5 47 41 35 21 30 21 13 49 41 31 49 25 32 25 58 50 25 39 11 20 39 40 29 30 56 55 61 62 55 54 7 13 48 62 13 23 40 48 45 54 48 30 54 63 31 41 20 29 21 20 18 20 64 63 23 40 30 48 40 57 63 64 10 11 62 55 50 58 55 62 57 47 41 47 29 47 48 47 58 62 64 55 62 58 46 45 36 45 47 45 20 19 37 36 43 36 45 13 11 18 13 4 18 27 4 5 58 10 5 6 27 28 6 4 19 20 4 31 28 35 31 59 35 28 55 46 10 13 59 31 13 29 31 38 20 21 38 14 29 45 46 38 45 37 38 30 37 29 30 39 29 37 39 31 37 29 31 40 29 37 40 47 37 45 47 54 45 53 54 62 53 61 62 55 61 53 55 47 53 45 47 39 0
19,1 35 37 24 22 50 44 8 7 27 29 22 29 44 29 16 14 19 21 40 38 29 44 57 47 44 38 49 13 18 27 33 40 27 13 40 13 26 27 13 40 27 29 41 57 43 44 49 41 38 28 14 21 29 21 32 30 21 22 40 16 37 38 25 46 44 45 17 23 42 35 46 28 35 28 16 11 22 20 11 51 58 42 23 38 45 38 9 25 20 27 41 38 34 26 51 53 28 35 38 35 27 35 53 29 0
